,project_name,bid_classification,bid_type,Category
5062,Type Iii Modified Microsurfacing At Various Locations In The City Of Vaughan,Construction,Request for Tender(RFT),
5064,Request For Pre-Qualification For Employee Expense Management And Purchasing Card Reconciliation Solution,Services,Request for Pre-Qualification(RFPQ),
5068,Site Coordination And Inspection Services For Major Mackenzie Drive (Y.R.25) From 1900M West Of Highway 27 (Y.R.27) To (Y.R.17),Services,Request for Proposal(RFP),
5075,Development Of A Forest Management Plan And Recreational Use Policy For The York Regional Forest,Services,Request for Proposal(RFP),
5078,York Region Paramedic Services Electronic Document Workflow & Investigation Case Management System,Services,Request for Information (RFI),
5088,Supply And Support Of Voice Telecom Services,Services,Request for Tender(RFT),
5089,Staff Wi-Fi Cabling And Installation At Long-Term Care Sites,Services,Request for Tender(RFT),
5093,"Supply And Delivery Of Medical Supplies For The Community And Health Services Department, Public Health Branch",Goods,Request for Tender(RFT),
5095,Boulevard Maintenance And Grass Cutting Within The Region Of York,Services,Request for Tender(RFT),
5105,For Consultant Services For Program Management For York Region Rapid Transit Corporation,Services,Request for Proposal(RFP),
5107,Supply And Delivery Of Five (5) Portable Variable Message Signs,Goods,Request for Quotation(RFQ),
5112,Supply And Delivery Of Twenty Five (25) Cctv Cameras,Goods,Request for Quotation(RFQ),
5134,Supply & Install Public Address And Ecb Systems At Yrt/Viva Terminals,Services,Request for Tender(RFT),
5135,"Professional Surveyor Services For Y-All Yonge Street, Town Of Richmond Hill, Town Of Newmarket",Services,Request for Tender(RFT),
5140,Application Of Longitudinal Pavement Markings At Various Locations Within The Regional Municipality Of York,Services,Request for Tender(RFT),
5144,Towing Services On An 'As Required' Basis Within The Region Of York,Services,Request for Tender(RFT),
5149,Road Resurfacing On Green Lane And Intersection Improvements At Green Lane And Leslie Street In The Town Of East Gwillimbury,Construction,Request for Tender(RFT),
5158,Supply And Install Flexible Delineator Posts,Goods,Request for Quotation(RFQ),
5159,Customer Satisfaction Survey York Region Transit/Viva And Mobility Bus,Services,Request for Proposal(RFP),
5164,Supply And Delivery Of Treatment Chemical Liquid Chlorine Gas To Various Locations In York Region,Goods,Request for Tender(RFT),
5165,Stage 1 And 2 Demolition And Removals For The Duffin Creek Water Pollution Control Plant Stage 1 And 2 Upgrade And Refurbishment Project,Construction,Request for Tender(RFT),
5168,"General Contractors For Fuel Station Installation And Related Works At The South West District Roads Yard At 2850 Rutherford Rd., Vaughan",Construction,Request for Pre-Qualification(RFPQ),
5173,"Pre-Qualification For Contrators For The Construction Of The Cornell Bus Terminal, City Of Markham",Construction,Request for Pre-Qualification(RFPQ),
5182,General Contractors For Renovations Of Tub Rooms At Newmarket And Maple Health Centres,Construction,Request for Pre-Qualification(RFPQ),
5189,Vmware Maintenance And Technical Support,Services,Request for Tender(RFT),
5190,Long Term Care Mobility Supplies And Services,Services,Request for Proposal(RFP),
5195,"Food Services For 17250 Yonge Street, Newmarket And 50 High Tech Road, Richmond Hill",Services,Request for Proposal(RFP),
5198,Printing Of York Matters Newsletter,Services,Request for Tender(RFT),
5202,"Installation Of Various Plant Material At Major Mackenzie Drive, From Weston Road To Pine Valley Drive In The City Of Vaughan",Construction,Request for Tender(RFT),
5205,Pre-Qualification – Detailed Design And Engineering Services For Bayview Avenue,Construction,Request for Pre-Qualification(RFPQ),
5215,"Prequalification Of Contractors For Interior Renovation Of Block B & C, 4Th Floor, York Region Administration Centre, 17250 Yonge Street, Newmarket",Construction,Request for Pre-Qualification(RFPQ),
5234,Tent And Table Supplies For The York Children’S Water Festival,Goods,Request for Tender(RFT),
5236,Standing Retainer Agreement For The Provision Of Consulting Services To York Region Transit - Fleet,Services,Request for Proposal(RFP),
5239,"Consulting Services For Renovations At Brayfield Manors In The Town Of Newmarket, And Renovations At Keswick Gardens In The Town Of Keswick",Services,Request for Proposal(RFP),
5240,Installation Of Various Plant Material Located At The Roundabout At Keele Street And Lloydtown - Aurora Road In The Township Of King,Goods,Request for Tender(RFT),
5243,Electronic Data Capture Of Collision Reports,Services,Request for Tender(RFT),
5246,Paving Contractors For The Replacement Of Existing Access Road To Multiple Facilities,Construction,Request for Pre-Qualification(RFPQ),
5265,Expansion And Renovation Of North Operations And Maintenance Facility At 18106 And 18110 Yonge Street In Newmarket,Construction,Request for Tender(RFT),
5269,Class Environmental Assessment Study (Schedule 'C') For Improvements To Major Mackenzie Dr (Yr25) From Hwy 400 To Jane St (Yr55),Services,Request for Proposal(RFP),
5271,Focus Group Study – Reuse Market Research,Services,Request for Proposal(RFP),
5277,"Supply And Installation Of New Air-Cooled Chiller System At Kingview Court, 90 Dew Street, In The Township Of King",Construction,Request for Tender(RFT),
5281,York Telecom Network Construction And Maintenance/Emergency Services Work,Goods,Request for Tender(RFT),
5285,Integrated Mobility Plus And Dial-A-Ride Services,Services,Request for Information (RFI),
5293,"Contractors For Replacement Of Boilers At 17250 Yonge Street, Newmarket, On",Construction,Request for Pre-Qualification(RFPQ),
5301,Review Of Transit Bus Specifications And Other Key Tendering Components,Services,Request for Information (RFI),
5303,"Construction Of Water Pumping Station, Decommissioning And Removal Of Temporary Booster Pump, Hydro Upgrades, And Decommissioning Of Pressure Sustaining Valve At 12640 Dufferin Street, City Of Vaughan",Construction,Request for Tender(RFT),
5306,Supply & Delivery Of Various Light Duty Vehicles For York Region Fleet Services,Goods,Request for Tender(RFT),
5310,Ibm Software Subscription & Support,Services,Request for Tender(RFT),
5311,Roadway Sweeping Services,Services,Request for Tender(RFT),
5314,Thermal Roadway Mapping,Services,Request for Proposal(RFP),
5318,"Roofing Contractors For The Replacement Of Three Existing Roof Areas - 145 Harry Walker Parkway, Newmarket, Ontario",Construction,Request for Pre-Qualification(RFPQ),
5334,Class Environmental Assessment Study (Schedule ‘C’) For Improvements To Kennedy Road (Y.R. 3) From Steeles Avenue (Y.R. 95) To Major Mackenzie Drive (Y.R. 25),Services,Request for Proposal(RFP),
5338,"Consultants For The Preliminary Design, Detailed Design, Contract Administration And Site Inspection Of The Oak Ridges Air Management Facility In The Town Of Richmond Hill",Services,Request for Pre-Qualification(RFPQ),
5340,Sale Of Various Surplus Flow Meters,Services,Request for Quotation(RFQ),
5341,"Enterprise Integrated Security Solution: Access Control, Intrusion Alarm And Cctv",Services,Request for Information (RFI),
5355,Sale Of Various Surplus Buses,Services,Request for Quotation(RFQ),
5358,Supply And Delivery Of Solar-Powered Radar Speed Boards,Goods,Request for Tender(RFT),
5361,Class Environmental Assessment For Water And Watewater Servicing In The Community Of Nobleton,Services,Request for Proposal(RFP),
5366,"Construction Of Paramedic Response Station # 16 At 135 Aspenwood Drive, Newmarket, Ontario",Construction,Request for Tender(RFT),
5372,Removal Of Standing Timber From The York Regional Forest,Services,Request for Quotation(RFQ),
5374,Appraisal Services For Insurance Purposes,Services,Request for Proposal(RFP),
5379,Current State Process Mapping,Services,Request for Quotation(RFQ),
5388,"Construction Of Paramedic Response Station #19 At 415 Harry Walker Parkway South, Newmarket",Construction,Request for Tender(RFT),
5394,Structural Pruning Of Trees Within Regional Road Allowances,Services,Request for Tender(RFT),
5398,Catch Basin Structure Cleaning Including Disposal Of Collected Liquid And Solid Materials At Various Locations In The Region,Construction,Request for Tender(RFT),
5401,Design And Build Of A Communication Tower At The Aurora Sewage Pumping Station,Construction,Request for Proposal(RFP),
5405,Update To The York Region Travel Demand Forecast Model,Services,Request for Proposal(RFP),
5406,Consulting Services For Class Environmental Assessment Study,Services,Request for Proposal(RFP),
5410,Request For Expression Of Interest For The Procurement Of Engineering And Other Advisory Services For York Region Rapid Transit Corporation,Services,Request for Information (RFI),
5419,Stouffville Water System Upgrades (Schedule ‘B’ Class Environmental Assessment For Water System Upgrades For The Community Of Stouffville),Services,Request for Proposal(RFP),
5422,Yrt/Viva Mapping Services,Services,Request for Proposal(RFP),
5428,Prequalification Of Consultants For Class Environmental Study For Major Mackenzie Drive (Y.R. 25) From Highway 400 To Jane Street (Y.R.55),Services,Request for Pre-Qualification(RFPQ),
5430,Regulatory Reporting Upgrades,Services,Request for Proposal(RFP),
5432,Health And Safety Training Provider,Services,Request for Proposal(RFP),
5437,"Detailed Design, Supply, Installation And Commissioning Of Energy Sustainable Microfit (10 Kw) Roof/Ground Mounted Solar Panel Systems",Services,Request for Proposal(RFP),
5443,"Nexpose And Metasploit Hardware, Software Subscription And Maintenance And Support",Goods,Request for Tender(RFT),
5446,Construction Of The New Paramedic Response Station #25 Station,Construction,Request for Tender(RFT),
5447,Class Environmental Assessment Study,Services,Request for Proposal(RFP),
5448,"General Contractors For Office Expansion At 16042 Woodbine Avenue, Town Of Whitchurch -Stouffville, Ontario",Construction,Request for Pre-Qualification(RFPQ),
5449,Shelter Security Modifications,Services,Request for Tender(RFT),
5450,Upgrades Of The Aurora Sewage Pumping Station Hauled Wastewater Receiving Facility Located At 242 St. John’S Sideroad In The Town Of Aurora,Construction,Request for Tender(RFT),
5453,Pre-Selection Of A Membrane Filtration System For The Lake Simcoe Water Reclamation Centre,Services,Request for Proposal(RFP),
5454,Purchase Of Intra Oral Cameras,Goods,Request for Quotation(RFQ),
5456,Provision Of Consulting Assignment For Traffic Safety,Services,Request for Proposal(RFP),
5457,Water Reuse Research Demonstration Project,Services,Request for Proposal(RFP),
5458,Online Training Material Hosting Agreement,Services,Request for Tender(RFT),
5459,Maintenance Inspection And Specific Design Of The York Telecom Network (Ytn) In The Regional Municipality Of York,Services,Request for Tender(RFT),
5460,"Acquisition, Delivery, Installation, De-Installation, Maintenance And Disposal Of American Power Conversions Uninterruptable Power Supplies",Services,Request for Tender(RFT),
5461,"Construction Of The Vaughan Metropolitan Centre Bus Terminal At 170 Millway Avenue, In The City Of Vaughan, Ontario",Construction,Request for Tender(RFT),
5462,Contractors To Participate In Constructability Workshop For The York Durham Sewage System (Ydss) Modifications Project,Services,Request for Information (RFI),
5463,"Intersection Operational Study And Functional Design – Yonge Street And Wellington Street, Town Of Aurora",Services,Request for Proposal(RFP),
5464,Cognos Software Development - Integrated Capital Funding Model Application,Services,Request for Proposal(RFP),
5465,Detailed Design And Engineering Services,Services,Request for Proposal(RFP),
5466,"Richmond Hill Centre Terminal Mobility Hub Kiosk - 8675 Yonge Street, Richmond Hill",Construction,Request for Tender(RFT),
5473,Construction Of A Municipal Sanitary Sewer In The Vicinity Of The Intersection Of Teston Road And Cityview Boulevard In The City Of Vaughan,Construction,Request for Tender(RFT),
5485,"Organization Review Of The Region’S Procurement Unit (Finance Department, Supplies And Services Branch)",Services,Request for Proposal(RFP),
